Timestamp,Location,Day,Your initials,Gender,Year,Financial Aid,Sports,Sexual Orientation,Race,Concentration,Legacy,First gen,Domestic/Intl,Greek,21 or older,Q1 Paxson,Q2 Advisor,Q3 Cigs,Q4 Election,Q5 CAPS,Q6 Exercise,Q7 Coffee,Q8 Shamed,Q9 Food,Q10 Med/law advising,Q11 Selling,Q12 Cheating,Q13 Substance use in class
11/3/2015 23:51:50,SciLi,Day 2,JS,Male,Junior,None,No,Heterosexual,White,,,Yes,Domestic,No,No,Somewhat approve,0,I do not smoke cigarettes or e-cigarettes,I am unsure,0,11-13,0,No,Somewhat satisfied,I am not considering applying to law or medical school,No,"I have been in at least one exclusive relationship, and I have neither cheated nor been cheated on",I have never been intoxicated during class
11/3/2015 23:52:13,SciLi,Day 2,LG,Female,Senior,None,No,Heterosexual,Hispanic,Life sciences,No,No,Domestic,No,Yes,No opinion,1-2,I do not smoke cigarettes or e-cigarettes,Bernie Sanders,0,1-3,0,No,No opinion,No opinion,No,I have cheated,I have never been intoxicated during class
11/3/2015 23:52:17,SciLi,Day 2,BH,Male,First-year,None,Yes,Heterosexual,White,Life sciences,No,No,Domestic,No,No,No opinion,1-2,I do not smoke cigarettes or e-cigarettes,Bernie Sanders,0,14 or more,0,No,Somewhat dissatisfied,No opinion,No,"I have been in at least one exclusive relationship, and I have neither cheated nor been cheated on",I have never been intoxicated during class
11/3/2015 23:53:08,SciLi,Day 2,JN,Female,Junior,None,No,Heterosexual,White,"Humanities/arts, Life sciences",Yes,No,Domestic,No,No,Strongly approve,3-4,I do not smoke cigarettes or e-cigarettes,Hillary Clinton,1,4-7,8-14,No,Somewhat dissatisfied,Somewhat satisfied,No,"I have been in at least one exclusive relationship, and I have neither cheated nor been cheated on",I have never been intoxicated during class
11/3/2015 23:53:18,SciLi,Day 2,js,Female,First-year,Grants and loans,No,Heterosexual,"White, Asian","Humanities/arts, Physical sciences",,No,Domestic,No,No,No opinion,1-2,I do not smoke cigarettes or e-cigarettes,Bernie Sanders,2-4,4-7,4-7,No,Somewhat satisfied,I am not considering applying to law or medical school,No,I have never been in an exclusive relationship,I have never been intoxicated during class
11/3/2015 23:54:06,SciLi,Day 2,BH,Male,Junior,None,No,Heterosexual,"White, Asian",Physical sciences,No,Yes,Domestic,No,No,Somewhat approve,1-2,I do not smoke cigarettes or e-cigarettes,Bernie Sanders,0,4-7,0,No,Somewhat dissatisfied,I am not considering applying to law or medical school,No,"I have been in at least one exclusive relationship, and I have neither cheated nor been cheated on",I have never been intoxicated during class
11/3/2015 23:54:57,SciLi,Day 2,JS,Female,Senior,None,No,Heterosexual,White,"Humanities/arts, Social sciences",Yes,No,Domestic,No,Yes,Strongly approve,1-2,I do not smoke cigarettes or e-cigarettes,Bernie Sanders,1,0,8-14,No,,No opinion,No,I have cheated,I have never been intoxicated during class
11/3/2015 23:55:16,SciLi,Day 2,LG,Female,Junior,"Grants, covering all costs",No,Heterosexual,Hispanic,Social sciences,No,Yes,Domestic,No,No,No opinion,3-4,I do not smoke cigarettes or e-cigarettes,Hillary Clinton,2-4,4-7,8-14,No,Very dissatisfied,I am not considering applying to law or medical school,No,I have never been in an exclusive relationship,I have never been intoxicated during class
11/3/2015 23:56:00,SciLi,Day 2,BH,Female,Senior,Just loans,Yes,Heterosexual,"White, Asian","Humanities/arts, Physical sciences",No,No,Domestic,No,Yes,Somewhat approve,1-2,I do not smoke cigarettes or e-cigarettes,I am unsure,0,14 or more,15-21,No,Very satisfied,I am not considering applying to law or medical school,No,"I have been in at least one exclusive relationship, and I have neither cheated nor been cheated on",I have never been intoxicated during class
11/3/2015 23:56:09,SciLi,Day 2,js,Male,,None,Yes,Heterosexual,Asian,Physical sciences,No,No,International,No,Yes,No opinion,3-4,I do not smoke cigarettes or e-cigarettes,I am unsure,0,4-7,4-7,No,Not familiar enough,No opinion,No,"I have been in at least one exclusive relationship, and I have neither cheated nor been cheated on",I have never been intoxicated during class
11/3/2015 23:56:51,SciLi,Day 2,JN,Female,Junior,None,No,Gay,White,Social sciences,No,No,International,No,No,No opinion,1-2,I do not smoke cigarettes or e-cigarettes,Hillary Clinton,2-4,1-3,0,No,Somewhat satisfied,No opinion,No,"I have been in at least one exclusive relationship, and I have neither cheated nor been cheated on",I have never been intoxicated during class
